# LEMpy all scores file for replicate 0 
# Run configuration file:  ../results/Okimflemingiae_DD_RPKM__20251111121609_lempy/lempy_20251111121609_config.txt 
# Time series data file:   ../tmp/tmp_20251111121609.tsv 
# Ground truth edge list:   
# Computed on:  2025-11-11 12:23:42 
 
model	pld	loss	norm_loss
Ophio5|2056=tf_act(Ophio5|8604)	0.0201355	508.3243226296825	0.9999999999999277
Ophio5|4218=tf_act(Ophio5|1479)	0.0200132	589.5170436770198	0.9999999999999997
Ophio5|4218=tf_act(Ophio5|2237)	0.019953	578.6673078197952	0.9815955518613145
Ophio5|512=tf_rep(Ophio5|1654)	0.0193588	523.0417257562864	0.8251205160438865
Ophio5|84=tf_act(Ophio5|392)	0.0193181	380.72310170289626	0.5355114196644061
Ophio5|2137=tf_rep(Ophio5|8321)	0.0191817	519.1895184644143	0.6341028281428044
Ophio5|491=tf_rep(Ophio5|8321)	0.0187657	745.7100555900738	0.7594954861688942
Ophio5|4218=tf_act(Ophio5|2137)	0.0186851	589.5170436770198	0.9999999999999997
Ophio5|491=tf_act(Ophio5|1479)	0.0186062	903.3800791852276	0.9200802474001283
Ophio5|2237=tf_act(Ophio5|8584)	0.0186055	542.1716124033762	0.7857622792320547
Ophio5|2056=tf_act(Ophio5|1654)	0.0184633	508.3243226296826	0.999999999999928
Ophio5|6835=tf_act(Ophio5|491)	0.0184317	413.71476867482033	0.7376662715801414
Ophio5|1479=tf_rep(Ophio5|3760)	0.0184046	523.5085932290972	0.7155667043130028
Ophio5|8584=tf_act(Ophio5|3760)	0.018133	503.87171523144235	0.7874609955068071
Ophio5|2056=tf_act(Ophio5|3300)	0.0179898	508.3243226296826	0.999999999999928
Ophio5|8584=tf_rep(Ophio5|1654)	0.0177794	529.0308561126807	0.8267802141204891
Ophio5|6920=tf_act(Ophio5|2137)	0.0176911	734.3146193173571	0.6978412438647601
Ophio5|6835=tf_rep(Ophio5|84)	0.0176008	427.97093134357664	0.7630854520376978
Ophio5|4218=tf_act(Ophio5|84)	0.0173651	566.8801541373924	0.9616009583057453
Ophio5|997=tf_act(Ophio5|4218)	0.0172174	603.031793924887	0.999999999999957
Ophio5|4218=tf_act(Ophio5|3760)	0.0172169	577.073580980918	0.9788921069720259
Ophio5|4218=tf_act(Ophio5|392)	0.0170563	575.670934088657	0.9765127917218471
Ophio5|2056=tf_act(Ophio5|1479)	0.0170551	508.3243226296826	0.999999999999928
Ophio5|3300=tf_act(Ophio5|8321)	0.0170026	621.0382958274097	0.6752425701976877
Ophio5|2056=tf_act(Ophio5|6835)	0.0167968	508.3243226296825	0.9999999999999277
Ophio5|491=tf_rep(Ophio5|3300)	0.0165832	851.9333279365411	0.8676824353302445
Ophio5|2056=tf_act(Ophio5|491)	0.0163385	508.3243226296826	0.999999999999928
Ophio5|756=tf_act(Ophio5|2056)	0.0163227	367.45203148325044	0.5782201854367092
Ophio5|6920=tf_act(Ophio5|756)	0.0161967	738.9826582368836	0.7022774214926001
Ophio5|2237=tf_act(Ophio5|3300)	0.0161635	538.3825923499387	0.7802709016587303
