time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0108100	0.630377	0.893755	1.30773	2.29127	3.17237	4.94213	6.31453	8.36381	8.4901	8.88367	6.98751	4.34626	1.91897	2.50839	1.18304	1.3487	2.59724	3.43951	4.81945	5.96085	7.37539
PF3D7_0108300	336.247	262.243	260.545	304.681	290.139	160.858	123.675	108.455	91.611	84.3428	152.14	193.058	294.994	457.535	205.639	243.154	225.35	163.596	114.298	99	85.2389
PF3D7_0108400	25.322	19.6897	22.3087	23.049	24.8319	20.357	18.8873	18.6984	16.1781	11.2858	8.18162	14.1097	71.1983	93.3589	22.6135	21.5339	21.5224	20.1229	16.5599	15.4802	14.9263
PF3D7_0108500	2704.53	1345.47	589.308	299.707	147.436	64.3673	32.9794	28.2566	25.4325	21.258	285.784	801.514	7807.7	8780.18	1590.4	678.064	302.251	113.165	51.5341	38.7053	26.8809
PF3D7_0108600	2.13594	1.87407	0.999477	1.08784	1.9073	7.4909	16.3369	33.269	24.7239	24.5929	14.316	7.94088	4.45169	4.7344	1.64157	1.24634	2.46586	5.70617	17.9616	22.8406	22.8012
PF3D7_0108700	51.0965	44.9049	40.035	40.157	38.7616	29.1389	31.4346	35.5223	49.5354	38.6169	27.402	30.3746	18.4022	16.977	31.4059	41.5504	35.0362	27.8422	26.5212	31.3684	40.444
PF3D7_0108800	24.3926	25.4651	32.7166	34.5191	29.5383	25.9839	33.5354	39.8919	35.1674	29.8329	20.5012	26.795	17.1662	10.4811	19.3357	29.4153	28.3347	26.9989	29.7512	33.9176	35.2902
PF3D7_0108900	1.75702	0.588899	0.139503	0.208335	0.202349	0.0779543	0.0946687	0.085268	0.0774609	6.96347	82.1657	114.773	104.775	51.2518	7.27124	2.25532	0.342206	0.729593	0	0.214362	0.407019
PF3D7_0109000	64.2828	45.0988	12.8949	8.2198	4.1745	2.42537	2.54895	4.21237	7.26053	207.394	1893.23	5430.51	5276.26	2156.61	207.659	54.0008	31.1192	15.7841	6.82565	7.61652	20.3059
PF3D7_0109100	1.51974	0.912312	0.38108	0.240654	0.279668	0.181752	0.247374	0.262865	0.522124	1.59472	12.9425	79.8597	83.2565	53.0767	4.05826	1.3006	1.08704	0.703516	0.307262	0.494444	0.644242
PF3D7_0109200	15.1868	22.5215	27.7688	31.4377	38.3567	38.4212	37.4467	38.3409	48.2878	33.03	18.6357	18.9981	9.48608	8.81862	19.2114	22.3835	28.706	33.1491	39.0835	38.4423	40.3628
PF3D7_0109300	0.909972	0.534647	0.216132	0.321843	0.631104	0.443834	2.60123	5.88179	1.94976	1.93761	1.74029	1.31419	3.33645	3.35053	1.53841	0.545134	0.948393	1.38599	4.74607	5.25741	4.07247
PF3D7_0109400	7.24832	4.69566	15.4324	44.3954	92.1521	105.133	104.688	92.8863	39.7884	26.7665	26.0289	31.0953	28.8555	25.6027	12.9094	19.2036	56.6326	87.9411	98.3987	86.0948	60.5412
PF3D7_0109500	212.441	230.331	221.686	193.399	160.356	128.824	95.5964	91.7505	119.62	75.9225	45.2505	50.0126	47.0691	35.5444	166.429	184.868	186.831	124.319	89.3872	90.2958	95.4616
PF3D7_0109600	8.62109	4.88121	7.52534	7.63641	9.41168	18.5218	16.7412	14.6798	9.07544	3.8774	3.34459	6.05264	4.30089	5.53504	4.36297	6.18457	8.98737	9.26538	13.6086	17.1829	7.68113
PF3D7_0109700	169.249	133.038	117.802	93.1498	68.1658	38.7494	28.5181	25.3105	28.1844	13.3445	9.27223	12.5666	20.3014	36.0066	107.032	88.7382	72.4448	38.7715	29.2181	27.6754	24.2159
PF3D7_0109800	223.833	174.952	140.68	132.563	109.97	78.5037	68.9195	64.2567	61.7986	42.1717	24.6739	24.9156	27.685	44.3993	123.321	127.171	110.796	77.3199	66.4387	64.8066	60.8139
PF3D7_0109850	0.482536	0.147412	0.242712	0.128884	0.101625	0.194446	1.98839	8.42248	23.7644	28.3841	19.4358	11.4987	4.9425	3.84032	0.356775	0.300332	0.343521	0.533482	3.00518	7.16897	14.1402
PF3D7_0109950	11.5752	16.8545	26.5082	25.2125	26.2041	44.2878	59.8031	76.0636	87.3224	72.8804	46.3487	37.173	23.5672	14.749	17.1388	17.6275	23.8408	39.7302	55.0794	65.7666	66.3631
PF3D7_0110000	9.30868	11.6506	15.0947	19.9658	25.08	32.7228	31.0824	36.8665	34.9754	25.1902	18.5224	17.0429	21.7247	29.8732	15.9335	16.7651	28.545	33.9922	38.611	38.1463	31.7528
PF3D7_0110100	29.3087	27.7124	20.3614	16.0242	14.9552	17.3081	20.1375	20.9453	16.7095	10.4986	6.51081	4.74573	3.90751	5.45802	17.1755	16.3552	15.8531	16.8688	17.9718	18.2266	17.1274
PF3D7_0110200	24.5474	28.3499	26.5407	31.3457	36.6476	27.4548	29.7859	31.0715	31.9534	18.6809	13.3708	9.73002	6.57014	9.04556	18.4482	22.8076	27.783	31.1373	29.5422	28.9263	26.4696
PF3D7_0110300	2.52233	2.77383	4.01557	3.59503	1.4241	1.12485	2.22362	0	0.703696	0.61846	0	1.54439	0	0.832202	3.15435	1.43634	0	0.414189	1.22031	0.348269	0.379106
PF3D7_0110400	283.028	250.65	211.831	184.576	133.886	96.3505	86.2641	79.2007	86.1443	51.6609	33.1646	38.1619	55.46	54.4404	158.483	174.79	141.641	100.72	83.6507	83.2728	73.6746
PF3D7_0110500	8.63184	18.9634	27.8788	33.745	41.6801	35.1139	38.4279	31.7862	20.3199	12.3513	9.46754	15.1692	21.0097	13.9446	14.3856	25.7072	34.6281	33.1307	29.2299	29.1305	24.5071
PF3D7_0110600	156.64	121.246	91.4294	85.5402	74.8761	49.5319	40.8042	41.5985	45.0595	38.4206	44.5651	105.792	184.597	132.857	80.9618	79.6581	72.1724	52.247	39.3304	41.2309	38.5251
PF3D7_0110700	23.3888	13.3179	10.0723	12.3548	42.9097	85.5274	150.268	155.634	85.6292	48.0212	28.4611	45.1099	45.3627	35.6977	11.9933	10.5845	26.3131	74.3085	134.37	146.916	113.056
PF3D7_0110800	136.676	107.28	104.178	111.788	145.51	93.3816	77.0648	78.3801	53.0743	38.1112	73.1246	184.042	200.217	120.99	78.5379	111.672	105.611	95.0429	78.4395	68.6778	56.7789
PF3D7_0110900	26.2996	32.3071	31.5714	37.5856	35.3088	27.3167	22.7694	17.8283	5.8248	2.14454	3.73998	2.04287	2.99789	2.52129	22.4814	31.839	31.9728	24.3082	21.8695	18.8808	11.4478
PF3D7_0111000	1.17703	0.977185	0.355696	0.485753	1.01967	5.5383	14.6912	20.891	22.4948	25.3409	24.3853	25.3163	13.9978	10.2474	2.35336	1.13167	2.07912	5.81777	12.5976	16.696	19.8951
PF3D7_0111200	0.701005	0	0	2.13287	7.14856	18.7373	25.2986	48.3055	35.7296	21.1256	15.2069	10.3506	6.57786	3.47312	0	1.79618	6.24163	10.4305	24.3989	30.4444	31.0922
PF3D7_0111300	1.20251	0.780177	1.64953	6.59732	16.9519	27.4606	35.7087	49.0629	55.7622	53.091	34.8079	19.6129	10.4544	8.20485	2.00536	4.02616	11.0787	22.7857	35.9102	45.0876	47.5161
PF3D7_0111400	1.35457	1.01836	1.0422	4.68938	9.93398	15.1363	19.4486	29.3885	29.6526	27.2815	19.2186	10.5936	7.59392	5.78	2.56427	3.02013	6.60859	11.4732	19.8775	25.4379	25.3479
PF3D7_0111500	4.12189	1.98668	2.41607	8.67554	25.6038	47.8868	64.193	71.4296	66.9656	157.614	298.791	367.989	195.704	87.4217	4.82603	5.22599	16.7656	35.2727	55.2042	63.025	65.1914
PF3D7_0111600	4.23041	7.31149	8.13	8.63628	7.02694	6.7659	7.18801	6.79161	3.92652	3.10547	1.94363	1.84471	2.35644	1.27602	6.50613	10.5322	7.75469	7.30031	6.64404	5.71409	7.09191
PF3D7_0111700	0	0	0	0.815062	0	0	0	0	0	0	0	0.842346	0	0	0	0	0	0	0.21727	0	0
PF3D7_0111800	11.4979	26.5823	54.5254	72.2636	87.379	67.4825	62.8837	57.6778	45.4416	29.0327	17.9569	12.585	13.4155	12.3567	24.6509	48.5176	61.154	62.2994	58.2997	55.4457	45.3371
PF3D7_0111900	22.4001	28.0554	46.8707	49.2884	56.8236	100.063	101.508	92.4602	106.732	79.0035	51.0026	39.754	29.5414	23.2894	23.5233	22.1648	59.2921	83.1304	65.6226	87.5492	98.6239
PF3D7_0112000	24.7928	28.5659	28.1087	22.9199	19.5432	30.4283	32.0569	29.2748	23.9049	11.884	8.74913	5.89671	7.075	6.50102	21.8597	25.0852	25.0493	28.4734	32.8754	32.7858	28.3896
PF3D7_0112100	10.8465	4.63804	3.83402	2.87069	1.24597	0.42797	0.907801	0.118205	0.63207	0	0.772305	0.915268	5.95178	4.31866	4.53696	2.68065	1.71653	0.992617	0.808088	0.19687	0.111198
PF3D7_0112200	9.09747	17.8069	31.7707	53.5808	111.842	103.559	94.8875	98.4777	52.7312	38.3196	21.0857	10.7888	9.36145	6.79957	12.4849	35.1598	69.2969	89.6148	85.8587	82.594	63.2463
PF3D7_0112300	0.608482	0.902246	0.452536	0.273274	0.746552	0.444216	0.560167	0.237847	1.09558	1.15674	2.30548	1.10875	21.1328	1.06818	0.358236	0.704533	1.49538	1.70529	0.591516	0.56154	1.70908
PF3D7_0112400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF3D7_0112500	0	22.9214	0	0	14.8931	0	13.6319	0	0	0	23.0247	0	0	0	0	0	0	0	13.6676	47.0697	0
PF3D7_0112600	0.538788	0.81375	2.39018	3.37038	5.16528	2.29371	4.93931	6.67328	4.41422	3.7974	1.97621	1.24297	2.96681	3.9681	1.68733	2.67439	3.0163	2.08906	3.42758	5.84167	11.2887
PF3D7_0112700	535.246	592.269	560.652	333.686	503.696	342.701	575.033	194.136	451.362	368.179	587.256	511.805	2658.36	824.233	303.796	557.105	558.798	574.803	339.842	306.975	493.42
